RMAID,OrderID,Step,Status,Reason
164,171,Product replacement or account refund processed,Complete,Defective
165,168,Product replacement or account refund processed,Complete,Defective
166,171,Product replacement or account refund processed,Complete,Incorrect
167,168,Product replacement or account refund processed,Complete,Order
168,171,Product replacement or account refund processed,Complete,Incorrect
169,171,Awaiting customer Documentation,Pending,Incorrect
170,170,Product replacement or account refund processed,Complete,Defective
171,171,Product replacement or account refund processed,Complete,Order
172,181,Product replacement or account refund processed,Complete,Defective
173,181,Product replacement or account refund processed,Complete,Order
174,181,Product replacement or account refund processed,Complete,Order
175,184,Product replacement or account refund processed,Complete,Order
176,184,Product replacement or account refund processed,Complete,Defective
177,184,Product replacement or account refund processed,Complete,Defective
178,184,Product replacement or account refund processed,Complete,Order
179,181,Product replacement or account refund processed,Complete,Defective
180,184,Product replacement or account refund processed,Complete,Incorrect
181,181,Received returned equipment,Initiated,Defective
182,184,Product replacement or account refund processed,Complete,Order
183,184,Product replacement or account refund processed,Complete,Order
184,193,Product replacement or account refund processed,Complete,Incorrect
185,193,Product replacement or account refund processed,Complete,Defective
186,193,Product replacement or account refund processed,Complete,Defective
187,193,Product replacement or account refund processed,Complete,Incorrect
188,193,Product replacement or account refund processed,Complete,Incorrect
189,193,Product replacement or account refund processed,Complete,Incorrect
190,199,Product replacement or account refund processed,Complete,Incorrect
191,199,Received returned equipment,Initiated,Incorrect
192,199,Product replacement or account refund processed,Complete,Incorrect
193,199,Product replacement or account refund processed,Complete,Defective
194,199,Product replacement or account refund processed,Complete,Defective
195,199,Product replacement or account refund processed,Complete,Order
196,199,Product replacement or account refund processed,Complete,Order
197,199,Awaiting customer Documentation,Pending,Incorrect
198,199,Product replacement or account refund processed,Complete,Defective
199,199,Product replacement or account refund processed,Complete,Defective
200,205,Product replacement or account refund processed,Complete,Order
201,205,Product replacement or account refund processed,Complete,Incorrect
202,205,Product replacement or account refund processed,Complete,Incorrect
203,212,Product replacement or account refund processed,Complete,Order
204,205,Product replacement or account refund processed,Complete,Incorrect
205,212,Product replacement or account refund processed,Complete,Order
206,212,Product replacement or account refund processed,Complete,Defective
207,214,Product replacement or account refund processed,Complete,Incorrect
208,212,Product replacement or account refund processed,Complete,Incorrect
209,214,Product replacement or account refund processed,Complete,Defective
210,212,Product replacement or account refund processed,Complete,Defective
211,214,Product replacement or account refund processed,Complete,Incorrect
212,212,Product replacement or account refund processed,Complete,Order
213,214,Product replacement or account refund processed,Complete,Defective
214,223,Product replacement or account refund processed,Complete,Order
215,223,Product replacement or account refund processed,Complete,Incorrect
216,223,Product replacement or account refund processed,Complete,Order
217,223,Product replacement or account refund processed,Complete,Defective
218,223,Awaiting customer Documentation,Pending,Defective
219,223,Product replacement or account refund processed,Complete,Defective
220,225,Awaiting customer Documentation,Pending,Order
221,223,Product replacement or account refund processed,Complete,Incorrect
222,225,Product replacement or account refund processed,Complete,Order
223,223,Product replacement or account refund processed,Complete,Defective
224,225,Product replacement or account refund processed,Complete,Order
225,225,Product replacement or account refund processed,Complete,Defective
226,231,Product replacement or account refund processed,Complete,Order
227,231,Product replacement or account refund processed,Complete,Incorrect
228,234,Product replacement or account refund processed,Complete,Incorrect
229,231,Product replacement or account refund processed,Complete,Order
230,234,Product replacement or account refund processed,Complete,Defective
231,231,Received returned equipment,Initiated,Incorrect
232,241,Product replacement or account refund processed,Complete,Order
233,241,Product replacement or account refund processed,Complete,Defective
234,241,Product replacement or account refund processed,Complete,Defective
235,241,Awaiting customer Documentation,Pending,Order
236,241,Product replacement or account refund processed,Complete,Incorrect
237,241,Product replacement or account refund processed,Complete,Incorrect
238,241,Product replacement or account refund processed,Complete,Defective
239,241,Product replacement or account refund processed,Complete,Order
240,241,Product replacement or account refund processed,Complete,Incorrect
241,241,Product replacement or account refund processed,Complete,Incorrect
242,251,Product replacement or account refund processed,Complete,Order
243,251,Product replacement or account refund processed,Complete,Defective
244,251,Product replacement or account refund processed,Complete,Order
245,251,Product replacement or account refund processed,Complete,Order
246,251,Product replacement or account refund processed,Complete,Incorrect
247,251,Product replacement or account refund processed,Complete,Defective
248,251,Received returned equipment,Initiated,Incorrect
249,251,Product replacement or account refund processed,Complete,Incorrect
250,251,Product replacement or account refund processed,Complete,Defective
251,251,Product replacement or account refund processed,Complete,Incorrect
252,260,Product replacement or account refund processed,Complete,Order
253,260,Product replacement or account refund processed,Complete,Defective
254,263,Received returned equipment,Initiated,Order
255,263,Product replacement or account refund processed,Complete,Incorrect
256,263,Received returned equipment,Initiated,Incorrect
257,263,Product replacement or account refund processed,Complete,Order
258,263,Product replacement or account refund processed,Complete,Order
259,263,Product replacement or account refund processed,Complete,Defective
260,263,Product replacement or account refund processed,Complete,Defective
261,263,Product replacement or account refund processed,Complete,Incorrect
262,263,Product replacement or account refund processed,Complete,Incorrect
263,263,Product replacement or account refund processed,Complete,Order
264,264,Product replacement or account refund processed,Complete,Order
265,265,Product replacement or account refund processed,Complete,Order
266,275,Product replacement or account refund processed,Complete,Incorrect
267,275,Product replacement or account refund processed,Complete,Incorrect
268,275,Product replacement or account refund processed,Complete,Defective
269,275,Product replacement or account refund processed,Complete,Defective
270,275,Product replacement or account refund processed,Complete,Defective
271,275,Product replacement or account refund processed,Complete,Incorrect
272,275,Product replacement or account refund processed,Complete,Incorrect
273,275,Product replacement or account refund processed,Complete,Incorrect
274,281,Product replacement or account refund processed,Complete,Defective
275,275,Product replacement or account refund processed,Complete,Order
276,281,Product replacement or account refund processed,Complete,Order
277,278,Product replacement or account refund processed,Complete,Defective
278,281,Product replacement or account refund processed,Complete,Incorrect
279,281,Product replacement or account refund processed,Complete,Incorrect
280,281,Product replacement or account refund processed,Complete,Order
281,281,Product replacement or account refund processed,Complete,Defective
282,287,Product replacement or account refund processed,Complete,Incorrect
283,287,Product replacement or account refund processed,Complete,Order
284,290,Product replacement or account refund processed,Complete,Order
285,291,Product replacement or account refund processed,Complete,Incorrect
286,287,Product replacement or account refund processed,Complete,Order
287,290,Product replacement or account refund processed,Complete,Order
288,297,Product replacement or account refund processed,Complete,Order
289,291,Product replacement or account refund processed,Complete,Defective
290,297,Product replacement or account refund processed,Complete,Incorrect
291,291,Product replacement or account refund processed,Complete,Incorrect
292,297,Product replacement or account refund processed,Complete,Defective
293,302,Product replacement or account refund processed,Complete,Defective
294,303,Product replacement or account refund processed,Complete,Incorrect
295,297,Product replacement or account refund processed,Complete,Incorrect
296,302,Product replacement or account refund processed,Complete,Incorrect
297,303,Product replacement or account refund processed,Complete,Defective
298,307,Product replacement or account refund processed,Complete,Order
299,307,Product replacement or account refund processed,Complete,Defective
300,307,Product replacement or account refund processed,Complete,Defective
301,307,Product replacement or account refund processed,Complete,Order
302,307,Product replacement or account refund processed,Complete,Order
303,307,Product replacement or account refund processed,Complete,Incorrect
304,307,Product replacement or account refund processed,Complete,Incorrect
305,314,Product replacement or account refund processed,Complete,Order
306,307,Awaiting customer Documentation,Pending,Order
307,314,Product replacement or account refund processed,Complete,Order
308,314,Product replacement or account refund processed,Complete,Defective
309,314,Product replacement or account refund processed,Complete,Order
310,314,Product replacement or account refund processed,Complete,Incorrect
311,314,Product replacement or account refund processed,Complete,Defective
312,314,Product replacement or account refund processed,Complete,Defective
313,314,Product replacement or account refund processed,Complete,Incorrect
314,314,Awaiting customer Documentation,Pending,Defective
315,317,Product replacement or account refund processed,Complete,Defective
316,317,Product replacement or account refund processed,Complete,Order
317,317,Product replacement or account refund processed,Complete,Incorrect
318,319,Product replacement or account refund processed,Complete,Defective
319,319,Received returned equipment,Initiated,Order
320,328,Product replacement or account refund processed,Complete,Incorrect
321,328,Product replacement or account refund processed,Complete,Defective
322,328,Product replacement or account refund processed,Complete,Order
323,328,Product replacement or account refund processed,Complete,Order
324,328,Product replacement or account refund processed,Complete,Rejected
325,330,Product replacement or account refund processed,Complete,Rejected
326,327,Product replacement or account refund processed,Complete,Rejected
327,336,Awaiting customer Documentation,Pending,Order
328,336,Product replacement or account refund processed,Complete,Defective
329,336,Product replacement or account refund processed,Complete,Defective
330,336,Received returned equipment,Initiated,Defective
331,336,Product replacement or account refund processed,Complete,Order
332,336,Product replacement or account refund processed,Complete,Defective
333,342,Product replacement or account refund processed,Complete,Defective
334,342,Product replacement or account refund processed,Complete,Incorrect
335,342,Product replacement or account refund processed,Complete,Defective
336,342,Product replacement or account refund processed,Complete,Rejected
337,342,Received returned equipment,Initiated,Incorrect
338,343,Product replacement or account refund processed,Complete,Incorrect
339,348,Product replacement or account refund processed,Complete,Incorrect
340,348,Product replacement or account refund processed,Complete,Incorrect
341,348,Product replacement or account refund processed,Complete,Order
342,342,Product replacement or account refund processed,Complete,Defective
343,343,Product replacement or account refund processed,Complete,Order
344,348,Product replacement or account refund processed,Complete,Incorrect
345,348,Product replacement or account refund processed,Complete,Incorrect
346,349,Product replacement or account refund processed,Complete,Order
347,348,Product replacement or account refund processed,Complete,Incorrect
348,349,Product replacement or account refund processed,Complete,Order
349,349,Awaiting customer Documentation,Pending,Incorrect
350,359,Product replacement or account refund processed,Complete,Incorrect
351,359,Product replacement or account refund processed,Complete,Incorrect
352,359,Awaiting customer Documentation,Pending,Incorrect
353,359,Product replacement or account refund processed,Complete,Defective
354,359,Product replacement or account refund processed,Complete,Order
355,359,Product replacement or account refund processed,Complete,Incorrect
356,359,Product replacement or account refund processed,Complete,Order
357,366,Product replacement or account refund processed,Complete,Defective
358,366,Product replacement or account refund processed,Complete,Defective
359,366,Product replacement or account refund processed,Complete,Incorrect
360,366,Product replacement or account refund processed,Complete,Order
361,366,Product replacement or account refund processed,Complete,Defective
362,366,Product replacement or account refund processed,Complete,Defective
363,366,Product replacement or account refund processed,Complete,Rejected
364,366,Product replacement or account refund processed,Complete,Order
365,366,Product replacement or account refund processed,Complete,Incorrect
366,366,Product replacement or account refund processed,Complete,Defective
367,376,Product replacement or account refund processed,Complete,Incorrect
368,376,Product replacement or account refund processed,Complete,Defective
369,376,Product replacement or account refund processed,Complete,Incorrect
370,376,Product replacement or account refund processed,Complete,Order
371,376,Product replacement or account refund processed,Complete,Incorrect
372,376,Product replacement or account refund processed,Complete,Order
373,380,Product replacement or account refund processed,Complete,Defective
374,383,Awaiting customer Documentation,Pending,Incorrect
375,384,Product replacement or account refund processed,Complete,Defective
376,376,Product replacement or account refund processed,Complete,Defective
377,386,Product replacement or account refund processed,Complete,Incorrect
378,387,Product replacement or account refund processed,Complete,Incorrect
379,387,Product replacement or account refund processed,Complete,Order
380,387,Product replacement or account refund processed,Complete,Defective
381,387,Product replacement or account refund processed,Complete,Defective
382,387,Product replacement or account refund processed,Complete,Order
383,387,Product replacement or account refund processed,Complete,Defective
384,387,Product replacement or account refund processed,Complete,Defective
385,394,Product replacement or account refund processed,Complete,Order
386,394,Product replacement or account refund processed,Complete,Incorrect
387,394,Product replacement or account refund processed,Complete,Order
388,394,Product replacement or account refund processed,Complete,Order
389,394,Product replacement or account refund processed,Complete,Defective
390,394,Awaiting customer Documentation,Pending,Defective
391,394,Product replacement or account refund processed,Complete,Incorrect
392,394,Product replacement or account refund processed,Complete,Defective
393,394,Product replacement or account refund processed,Complete,Defective
394,394,Product replacement or account refund processed,Complete,Defective
395,395,Product replacement or account refund processed,Complete,Order
396,404,Product replacement or account refund processed,Complete,Incorrect
397,404,Product replacement or account refund processed,Complete,Defective
398,404,Product replacement or account refund processed,Complete,Order
399,404,Awaiting customer Documentation,Pending,Defective
400,405,Product replacement or account refund processed,Complete,Defective
401,404,Product replacement or account refund processed,Complete,Defective
402,405,Product replacement or account refund processed,Complete,Incorrect
403,404,Product replacement or account refund processed,Complete,Incorrect
404,413,Awaiting customer Documentation,Pending,Incorrect
405,413,Product replacement or account refund processed,Complete,Incorrect
406,413,Product replacement or account refund processed,Complete,Order
407,413,Product replacement or account refund processed,Complete,Order
408,413,Product replacement or account refund processed,Complete,Incorrect
409,413,Product replacement or account refund processed,Complete,Incorrect
410,413,Product replacement or account refund processed,Complete,Defective
411,413,Product replacement or account refund processed,Complete,Defective
412,413,Product replacement or account refund processed,Complete,Order
413,413,Product replacement or account refund processed,Complete,Incorrect
414,414,Product replacement or account refund processed,Complete,Defective
415,421,Received returned equipment,Initiated,Incorrect
416,421,Product replacement or account refund processed,Complete,Defective
417,420,Product replacement or account refund processed,Complete,Order
418,421,Product replacement or account refund processed,Complete,Incorrect
419,425,Product replacement or account refund processed,Complete,Order
420,420,Product replacement or account refund processed,Complete,Incorrect
421,421,Product replacement or account refund processed,Complete,Order
422,425,Product replacement or account refund processed,Complete,Defective
423,432,Received returned equipment,Initiated,Incorrect
424,432,Product replacement or account refund processed,Complete,Incorrect
425,425,Product replacement or account refund processed,Complete,Order
426,435,Received returned equipment,Initiated,Order
427,435,Awaiting customer Documentation,Pending,Incorrect
428,437,Product replacement or account refund processed,Complete,Incorrect
429,437,Product replacement or account refund processed,Complete,Defective
430,437,Product replacement or account refund processed,Complete,Incorrect
431,437,Product replacement or account refund processed,Complete,Incorrect
432,437,Product replacement or account refund processed,Complete,Defective
433,437,Product replacement or account refund processed,Complete,Defective
434,437,Product replacement or account refund processed,Complete,Incorrect
435,444,Product replacement or account refund processed,Complete,Order
436,437,Product replacement or account refund processed,Complete,Incorrect
437,441,Product replacement or account refund processed,Complete,Defective
438,444,Product replacement or account refund processed,Complete,Order
439,440,Product replacement or account refund processed,Complete,Order
440,441,Product replacement or account refund processed,Complete,Order
441,444,Product replacement or account refund processed,Complete,Defective
442,450,Received returned equipment,Initiated,Incorrect
443,444,Product replacement or account refund processed,Complete,Order
444,453,Awaiting customer Documentation,Pending,Incorrect
445,453,Product replacement or account refund processed,Complete,Order
446,453,Product replacement or account refund processed,Complete,Incorrect
447,453,Product replacement or account refund processed,Complete,Order
448,457,Product replacement or account refund processed,Complete,Incorrect
449,457,Product replacement or account refund processed,Complete,Defective
450,450,Product replacement or account refund processed,Complete,Incorrect
451,453,Product replacement or account refund processed,Complete,Order
452,461,Product replacement or account refund processed,Complete,Defective
453,461,Product replacement or account refund processed,Complete,Order
454,461,Product replacement or account refund processed,Complete,Order
455,461,Product replacement or account refund processed,Complete,Order
456,461,Product replacement or account refund processed,Complete,Order
457,461,Product replacement or account refund processed,Complete,Incorrect
458,461,Product replacement or account refund processed,Complete,Incorrect
459,461,Product replacement or account refund processed,Complete,Incorrect
460,461,Product replacement or account refund processed,Complete,Incorrect
461,461,Product replacement or account refund processed,Complete,Incorrect
462,471,Product replacement or account refund processed,Complete,Incorrect
463,471,Product replacement or account refund processed,Complete,Incorrect
464,473,Product replacement or account refund processed,Complete,Order
465,473,Product replacement or account refund processed,Complete,Incorrect
466,467,Product replacement or account refund processed,Complete,Incorrect
467,471,Product replacement or account refund processed,Complete,Defective
468,473,Product replacement or account refund processed,Complete,Order
469,478,Product replacement or account refund processed,Complete,Defective
470,479,Product replacement or account refund processed,Complete,Rejected
471,479,Product replacement or account refund processed,Complete,Incorrect
472,472,Product replacement or account refund processed,Complete,Incorrect
473,473,Product replacement or account refund processed,Complete,Incorrect
474,478,Product replacement or account refund processed,Complete,Order
475,479,Product replacement or account refund processed,Complete,Incorrect
476,482,Product replacement or account refund processed,Complete,Defective
477,478,Product replacement or account refund processed,Complete,Incorrect
478,479,Product replacement or account refund processed,Complete,Order
479,482,Product replacement or account refund processed,Complete,Defective
480,489,Product replacement or account refund processed,Complete,Defective
481,489,Product replacement or account refund processed,Complete,Defective
482,491,Product replacement or account refund processed,Complete,Incorrect
483,491,Product replacement or account refund processed,Complete,Defective
484,491,Product replacement or account refund processed,Complete,Order
485,491,Product replacement or account refund processed,Complete,Incorrect
486,491,Product replacement or account refund processed,Complete,Order
487,491,Product replacement or account refund processed,Complete,Incorrect
488,491,Product replacement or account refund processed,Complete,Defective
489,491,Product replacement or account refund processed,Complete,Defective
490,491,Product replacement or account refund processed,Complete,Incorrect
491,491,Product replacement or account refund processed,Complete,Defective
492,493,Product replacement or account refund processed,Complete,Defective
493,497,Product replacement or account refund processed,Complete,Order
494,497,Product replacement or account refund processed,Complete,Order
495,502,Product replacement or account refund processed,Complete,Incorrect
496,497,Product replacement or account refund processed,Complete,Incorrect
497,502,Product replacement or account refund processed,Complete,Order
498,507,Product replacement or account refund processed,Complete,Defective
499,507,Product replacement or account refund processed,Complete,Incorrect
500,507,Product replacement or account refund processed,Complete,Incorrect
501,507,Awaiting customer Documentation,Pending,Incorrect
502,507,Product replacement or account refund processed,Complete,Defective
503,507,Product replacement or account refund processed,Complete,Incorrect
504,507,Product replacement or account refund processed,Complete,Incorrect
505,507,Product replacement or account refund processed,Complete,Incorrect
506,507,Product replacement or account refund processed,Complete,Order
507,507,Product replacement or account refund processed,Complete,Defective
508,512,Product replacement or account refund processed,Complete,Incorrect
509,512,Product replacement or account refund processed,Complete,Defective
510,511,Product replacement or account refund processed,Complete,Order
511,512,Product replacement or account refund processed,Complete,Incorrect
512,521,Product replacement or account refund processed,Complete,Order
513,521,Product replacement or account refund processed,Complete,Order
514,518,Product replacement or account refund processed,Complete,Order
515,521,Awaiting customer Documentation,Pending,Defective
516,522,Product replacement or account refund processed,Complete,Order
517,518,Product replacement or account refund processed,Complete,Defective
518,521,Product replacement or account refund processed,Complete,Incorrect
519,522,Product replacement or account refund processed,Complete,Incorrect
520,528,Product replacement or account refund processed,Complete,Incorrect
521,521,Product replacement or account refund processed,Complete,Order
522,531,Product replacement or account refund processed,Complete,Rejected
523,531,Product replacement or account refund processed,Complete,Defective
524,531,Product replacement or account refund processed,Complete,Defective
525,533,Product replacement or account refund processed,Complete,Defective
526,531,Product replacement or account refund processed,Complete,Order
527,533,Received returned equipment,Initiated,Incorrect
528,531,Product replacement or account refund processed,Complete,Incorrect
529,533,Product replacement or account refund processed,Complete,Rejected
530,531,Product replacement or account refund processed,Complete,Incorrect
531,540,Product replacement or account refund processed,Complete,Defective
532,540,Product replacement or account refund processed,Complete,Order
533,533,Product replacement or account refund processed,Complete,Defective
534,540,Product replacement or account refund processed,Complete,Order
535,538,Product replacement or account refund processed,Complete,Incorrect
536,540,Awaiting customer Documentation,Pending,Incorrect
537,546,Product replacement or account refund processed,Complete,Defective
538,546,Product replacement or account refund processed,Complete,Defective
539,546,Awaiting customer Documentation,Pending,Defective
540,549,Product replacement or account refund processed,Complete,Defective
541,542,Product replacement or account refund processed,Complete,Defective
542,546,Product replacement or account refund processed,Complete,Defective
543,552,Received returned equipment,Initiated,Order
544,552,Product replacement or account refund processed,Complete,Incorrect
545,553,Received returned equipment,Initiated,Defective
546,552,Product replacement or account refund processed,Complete,Incorrect
547,553,Product replacement or account refund processed,Complete,Order
548,549,Received returned equipment,Initiated,Incorrect
549,552,Awaiting customer Documentation,Pending,Order
550,553,Product replacement or account refund processed,Complete,Incorrect
551,560,Received returned equipment,Initiated,Order
552,560,Product replacement or account refund processed,Complete,Defective
553,560,Product replacement or account refund processed,Complete,Order
554,560,Product replacement or account refund processed,Complete,Defective
555,560,Product replacement or account refund processed,Complete,Order
556,560,Product replacement or account refund processed,Complete,Defective
557,560,Product replacement or account refund processed,Complete,Defective
558,560,Received returned equipment,Initiated,Order
559,560,Product replacement or account refund processed,Complete,Defective
560,560,Product replacement or account refund processed,Complete,Order
561,561,Product replacement or account refund processed,Complete,Incorrect
562,562,Product replacement or account refund processed,Complete,Defective
563,563,Product replacement or account refund processed,Complete,Order
564,568,Received returned equipment,Initiated,Defective
565,569,Product replacement or account refund processed,Complete,Defective
566,575,Product replacement or account refund processed,Complete,Defective
567,575,Product replacement or account refund processed,Complete,Incorrect
568,575,Product replacement or account refund processed,Complete,Order
569,575,Product replacement or account refund processed,Complete,Order
570,575,Product replacement or account refund processed,Complete,Order
571,575,Product replacement or account refund processed,Complete,Incorrect
572,575,Product replacement or account refund processed,Complete,Order
573,575,Product replacement or account refund processed,Complete,Defective
574,575,Product replacement or account refund processed,Complete,Defective
575,575,Product replacement or account refund processed,Complete,Incorrect
